level,kanji,jawaban,arti
N5,日,ひ;にち;び,Hari/Matahari
N5,月,つき;げつ,Bulan
N5,火,ひ;か,Api
N5,水,みず;すい,Air
N5,木,き;もく,Pohon
N5,金,かね;きん,Uang/Emas
N5,土,つち;ど,Tanah
N5,山,やま;さん,Gunung
N5,川,かわ;せん,Sungai
N5,田,た;でん,Sawah
N5,人,ひと;にん;じん,Orang
N5,口,くち;こう,Mulut
N5,目,め;もく,Mata
N5,耳,みみ;じ,Telinga
N5,手,て;しゅ,Tangan
N5,足,あし;そく,Kaki
N5,力,ちから;りょく,Kekuatan
N5,雨,あめ;う,Hujan
N5,車,くるま;しゃ,Mobil
N5,学,まなぶ;がく,Belajar
N5,校,こう,Sekolah
N5,生,いきる;せい,Hidup
N5,先,さき;せん,Depan
N5,私,わたし;し,Saya
N5,年,とし;ねん,Tahun
N5,時,とき;じ,Waktu
N5,分,ふん;ぶん,Menit
N5,上,うえ;じょう,Atas
N5,下,した;か,Bawah
N5,中,なか;ちゅう,Dalam
N5,大,おお;だい,Besar
N5,小,ちい;しょう,Kecil
N5,本,ほん,Buku
N5,名,な;めい,Nama
N5,円,えん,Yen
N5,子,こ;し,Anak
N5,女,おんな;じょ,Perempuan
N5,男,おとこ;だん,Laki-laki
N5,友,とも;ゆう,Teman
N5,父,ちち;ふ,Ayah
N5,母,はは;ぼ,Ibu
N5,兄,あに;けい,Kakak laki-laki
N5,姉,あね;し,Kakak perempuan
N5,弟,おとうと;てい,Adik laki-laki
N5,妹,いもうと;まい,Adik perempuan
N5,何,なに;なん,Apa
N5,誰,だれ;すい,Siapa
N5,何時,なんじ,Jam berapa
N5,今,いま;こん,Sekarang
N5,前,まえ;ぜん,Depan
N5,後,あと;ご,Belakang
N5,右,みぎ;う,Kanan
N5,左,ひだり;さ,Kiri
N5,東,ひがし;とう,Timur
N5,西,にし;せい,Barat
N5,南,みなみ;なん,Selatan
N5,北,きた;ほく,Utara
N5,外,そと;がい,Luar
N5,内,うち;ない,Dalam
N5,間,あいだ;かん,Antara
N5,毎,まい,Setiap
N5,週,しゅう,Minggu
N5,月曜,げつよう,Senin
N5,火曜,かよう,Selasa
N5,水曜,すいよう,Rabu
N5,木曜,もくよう,Kamis
N5,金曜,きんよう,Jumat
N5,土曜,どよう,Sabtu
N5,日曜,にちよう,Minggu
N5,食,たべる;しょく,Makan
N5,飲,のむ;いん,Minum
N5,見,みる;けん,Melihat
N5,聞,きく;ぶん,Mendengar
N5,話,はなす;わ,Berbicara
N5,読,よむ;どく,Membaca
N5,書,かく;しょ,Menulis
N5,買,かう;ばい,Membeli
N5,売,うる;ばい,Menjual
N5,行,いく;こう,Pergi
N5,来,くる;らい,Datang
N5,帰,かえる;き,Kembali
N5,立,たつ;りつ,Berdiri
N5,座,すわる;ざ,Duduk
N5,休,やすむ;きゅう,Libur/Istirahat
N5,働,はたらく;どう,Bekerja
N5,住,すむ;じゅう,Tinggal
N5,開,あける;かい,Membuka
N5,閉,しめる;へい,Menutup
N5,新,あたらしい;しん,Baru
N5,古,ふるい;こ,Lama
N5,長,ながい;ちょう,Panjang
N5,短,みじかい;たん,Pendek
N5,高,たかい;こう,Tinggi/Mahal
N5,安,やすい;あん,Murah
N5,多,おおい;た,Banyak
N5,少,すくない;しょう,Sedikit
N4,飲む,のむ,Minum
N4,食べる,たべる,Makan
N4,行く,いく,Pergi
N4,来る,くる,Datang
